名称,地址,电话,营业时间
康怡,香港鰂魚涌康怡花園第1期1室,2885 0337,星期一至日: 08:00-21:00
新成,香港筲箕灣筲箕灣道241-249號地下,2567 1325,星期一至日: 08:30-22:00
峻峰花園,香港筲箕灣峻峰花園地下3號舖,2567 1549,星期一至日: 08:00-23:00
樂融軒,香港筲箕灣道333號樂融軒商場2樓,2997 9423,星期一至日: 08:30-21:30
耀東,"香港筲箕灣耀興道12號耀東村耀東商場地下S6A,S6B & S6C號舖",2663 4818,星期一至日: 08:00-22:00
銅鑼灣,香港銅鑼灣記利佐治街25-29號,2577 3215,星期一至日: 24 Hours
謝斐道,香港銅鑼灣謝斐道503-505號地下,2574 6437,星期一至日: 08:00-23:00
勵德,香港大坑勵德村道4-14號勵德村村榮樓地下,2503 4218,星期一至日: 08:30-21:30
軒尼詩道,香港灣仔軒尼詩道418-428號地庫,2838 2145,星期一至日: 08:00-23:00
龍記大廈,香港上環德輔道中267-275號龍記大廈地下,3584 7951,星期一至日: 08:00-21:30
錦田,新界元朗錦田錦田戲院大廈地下,2470 0673,星期一至日: 08:00-22:30
灣仔,香港灣仔莊士敦道194-204號地庫,2893 0215,星期一至日: 08:30-22:00
金利大廈,香港中環皇后大道中142-146號金利商業大廈,3580 2706,星期一至日: 08:30-21:30
中環,香港皇后大道中84-90號華光勵精中心地庫,2529 1357,星期一至日: 08:00-22:00
普頓臺,香港上環德輔道西88號普頓臺地下1號舖,2517 7586,星期一至日: 08:00-22:00
上環,香港皇后大道西 2 -12 號地下,3421 1252,星期一至日: 08:00-22:00
莊士敦道,香港莊士敦道18號嘉寧大廈,2110 4454,星期一至日: 08:00-23:00
正德大廈,香港德輔道西260-264號正德大廈地下,29758155,星期一至日: 08:00-22:00
西營盤,香港西營盤第一街63-65號地下,2549 3561,星期一至日: 08:00-23:00
高威,香港柴灣道111號東港城廣場一楼,2558 9728,星期一至日: 08:30-21:30
嘉威花園,香港般咸道1號嘉威花園地下,3422 3635,星期一至日: 08:00-21:00
跑馬地,香港跑馬地載德街雅怡閣2-4號地下,2575 8982,星期一至日: 08:00-22:00
怡基閣,香港半山般咸道62號怡基閣地下,2803 7571,星期一至日: 08:00-21:00
永利,"香港柴灣道333號永利中心地下46-78, 80-87室",2896 3032,星期一至日: 09:00-20:00
興華,香港柴灣興華村第二期地下,2558 2909,星期一至日: 09:00-21:00
永興樓,"香港石塘咀皇后大道西476-482號永興樓地下B,C舖及部分D,E舖",2801 5728,星期一至日: 08:00-22:00
環翠,香港柴灣環翠村環翠商場 3 樓,2505 1446,星期一至日: 08:00-22:00
石塘咀,香港皇后大道西562-566號厚福大廈地下,2817 4797,星期一至日: 08:00-22:00
小西灣,香港柴灣小西灣路小西灣邨小西灣廣場2樓211A,3755 0471,星期一至日: 08:00-23:00
寶翠園,香港卑路乍街8號西寶城3樓,2542 7174,星期一至日: 08:00-23:00
峰華,香港柴灣峰華村曉峰樓地下 1-4 號舖,2505 2734,星期一至日: 08:00-21:00
深井,新界深井青山公路陳記商業大廈地下至2樓,2491 1348,星期一至日: 08:00-22:00
卑路乍街,香港卑路乍街46A隆基大厦 G/F,2818 5277,星期一至日: 08:00-22:00
和福道,香港山頂和福道2-4號1樓,2849 7576,星期一至日: 09:00-20:00
士美菲,香港堅尼地城士美菲路71-77號嘉輝花園地下,2882 1309,星期一至日: 08:00-22:00
域多利道,香港堅尼地城域多利道1號百年大廈2座3-7號,2817 2502,星期一至日: 08:00-22:00
落馬州,新界落馬州鐵路站1樓離境大堂132號舖,3404 6532,星期一至日: 10:00-21:30
落馬州 2,新界落馬州鐵路站1樓離境大堂133號舖,3404 6532,星期一至日: 09:30-21:30
落馬州 3,新界落馬州鐵路站1樓離境大堂102-105號舖,29811498,星期一至日: 12:00-20:00
美景臺,香港域多利道18-20號 美景臺地下,2819 3427,星期一至日: 08:30-20:00
尚悅方,"新界元朗十八鄉路33號尚悅方地下1, 2 及3號舖",2436 9278,星期一至日: 09:00-21:00
萬金,"新界元朗水車館街28號萬金中心地下3, 5, 6-7, 8-9, 10-11, 12-13, 15 & 17-18號舖",2479 6723,星期一至日: 08:30-21:30
合益,新界元朗合益道31-47號合益中心,2476 1853,星期一至日: 08:30-22:00
光華,新界元郎阜財街 38 號光華中心1樓,2442 1297,星期一至日: 08:00-22:30
冠煌樓,"新界元朗安寧路2-18號冠煌樓地下D, I及部份J號舖",2157 0812,星期一至日: 09:30-21:00
利港中心,香港香港仔成都道38號利港中心地庫A號舖,2814 0612,星期一至日: 08:00-23:00
紅山半島,香港大潭紅山道3號紅山半島地下G25號舖,2813 1783,星期一至日: 08:00-20:00
祥發,新界元朗裕景坊祥發大厦地下14號,2944 0270,星期一至日: 08:00-22:30
富嘉,香港香港仔大道234號富嘉工業大廈地下,3755 4974,星期一至日: 08:30-21:00
世宙,新界元朗安寧路38號世宙地下36號,2674 3798,星期一至日: 09:00-21:30
嘉禾大廈,香港田灣嘉禾街14-22號嘉禾大厦地下6B-6C,2427 4839,星期一至日: 08:30-21:30
嘉誠,新界元朗元朗市274地段教育路嘉誠大廈地下,2474 3965,星期一至日: 08:00-24:00
華富1,香港華富村商場第一期120-140號,2550 6795,星期一至日: 08:00-22:00
寶城,新界元朗教育路88-102號寶城大廈地下9-10號舖,2868 9783,星期一至日: 09:00-21:30
華景,香港華富村商業中心25-27室,2550 8740,星期一至日: 08:30-22:00
鴨脷洲,香港鴨利洲大街127-139號高寶閣地下,3571 9563,星期一至日: 08:00-22:00
屏薈,新界元朗屏薈中心地下31室,2476 2470,星期一至日: 08:00-22:30
朗屏,新界元朗朗屏邨商場2樓203舖,3580 7356,星期一至日: 08:00-22:30
舂磡角,香港舂磡角道39號地下,2813 8919,星期一至日: 08:30-21:00
天慈,新界元朗天水圍天慈村天慈商場一樓101及102號舖,2873 3177,星期一至日: 08:00-22:30
屏欣,新界屏山屏廈路65號屏欣苑商場地下2號舖,2613 1710,星期一至日: 08:00-22:00
天晴,新界天水圍天晴邨天晴商場地下6號舖,2351 8267,星期一至日: 08:00-22:30
翠珊閣,新界元朗洪水橋翠珊園124地段2-3號地下,2479 0867,星期一至日: 08:00-22:00
雅珊園,新界元朗洪水橋雅珊園商場1樓,2576 5218,星期一至日: 09:00-21:30
翠湖居,新界元朗天水圍天瑞路8號翠湖居地下1-4號,2446 9116,星期一至日: 08:30-21:30
天澤,新界天水圍天澤商場2樓204號舖,2486 3501,星期一至日: 08:00-22:30
坪洲,"新界坪洲寶坪街12號嘉輝花園地下11-13, 15-16, 31-33號舖",2983 9285,星期一至日: 08:00-22:00
藍地,新界屯門藍地福亨村路8號豫豐花園商場地下A及B號舖,2328 7511,星期一至日: 08:30-22:00
新墟,新界屯門金堡大廈地下9室,2457 0238,星期一至日: 08:30-20:30
置樂,新界屯門置樂花園商場地下,2452 5535,星期一至日: 08:00-22:00
仁政街,新界屯門仁政街富華中心26號A二樓,2440 9837,星期一至日: 08:00-21:30
恒福花園,新界屯門三聖村恒福花園商場二樓204號,2451 8505,星期一至日: 08:30-21:30
屯門時代廣場 2,新界屯門時代廣場北翼L2樓1-21 及 24-28號舖,2375 9518,星期一至日: 08:30-22:30
兆麟苑,新界屯門兆興里3號兆麟商埸地下13A號舖,2637 7937,星期一至日: 09:00-21:00
康麗,新界屯門河傍街鄉事會屯門巴黎倫敦紐約電影中心48號地下,2452 3252,星期一至日: 08:30-22:00
安定,新界屯門鄉事會路2A安定邨酒樓大厦3樓M301舖,2690 4668,星期一至日: 08:00-22:30
菁田,新界屯門菁田邨菁田購物中心地下G6室,2317 6863,星期一至日: 08:00-22:00
大興花園1,新界屯門大興花園2期購物商場地下1號,2461 4929,星期一至日: 08:00-22:30
大興,新界屯門大興村第二期商場43-53號1樓,2463 6269,星期一至日: 08:00-22:00
建生,新界屯門建生購物中心207室1樓,2456 3270,星期一至日: 08:30-22:00
海典軒,新界屯門海珠路2號海典軒購物商場地下 20-25號舖,2457 8923,星期一至日: 08:00-22:30
山景2,新界屯門鳴琴路1號山景商場街市地下T-SK73號舖,2653 2718,星期一至日: 08:00-22:30
良景,新界屯門良景村良景樓購物中心401號,2454 0550,星期一至日: 08:00-22:30
富健花園,新界屯門龍門路富健花園地下 88 號舖,2453 9310,星期一至日: 08:00-22:30
蝴蝶,新界屯門蝴蝶村廣場3樓311號舖,2461 0214,星期一至日: 08:00-22:30
銀礦灣,新界大嶼山梅窩銀灣道2號家樂閣地下,2984 7884,星期一至日: 08:00-22:00
